data,val,Percentage Daily Movement,Percentage Price Change
2021-08-04,71.83,-0.012102874432677657,1.3903494176372713
2021-08-05,70.34,-0.020743421968536735,1.3407653910149753
2021-08-06,71.3,0.013647995450668082,1.3727121464226288
2021-08-09,70.66,-0.008976157082748903,1.351414309484193
2021-08-10,70.13,-0.00750070761392585,1.3337770382695506
2021-08-11,70.52,0.005561100812776276,1.34675540765391
2021-08-12,71.32,0.011344299489506549,1.373377703826955
2021-08-13,70.9,-0.00588895120583266,1.3594009983361068
2021-08-16,69.65,-0.017630465444287702,1.317803660565724
2021-08-17,69.4,-0.003589375448671883,1.3094841930116474
2021-08-18,69.32,-0.0011527377521615145,1.3068219633943425
2021-08-19,66.08,-0.04673975764570104,1.1990016638935108
2021-08-20,66.13,0.0007566585956415572,1.2006655574043261
2021-08-23,67.33,0.018146075911084303,1.2405990016638935
2021-08-24,69.71,0.03534828456854289,1.319800332778702
2021-08-25,70.59,0.012623726868455254,1.3490848585690518
2021-08-26,70.75,0.0022666100014165913,1.3544093178036607
2021-08-27,71.48,0.010318021201413563,1.3787021630615643
2021-08-30,71.88,0.005595970900951208,1.3920133111480864
2021-08-31,71.43,-0.006260434056761133,1.377038269550749
2021-09-01,71.25,-0.002519949601008098,1.3710482529118138
2021-09-02,71.63,0.00533333333333319,1.3836938435940098
2021-09-03,72.56,0.01298338684908562,1.414642262895175
2021-09-06,71.29,-0.017502756339580983,1.372379367720466
2021-09-07,71.34,0.00070136063964088,1.3740432612312814
2021-09-08,71.17,-0.0023829548640313947,1.3683860232945093
2021-09-09,71.82,0.00913306168329342,1.390016638935108
2021-09-10,71.98,0.002227791701476134,1.3953410981697174
2021-09-13,72.77,0.010975270908585522,1.421630615640599
2021-09-14,73.29,0.007145801841418331,1.4389351081530786
2021-09-15,73.78,0.006685768863419206,1.4552412645590682
2021-09-16,74.17,0.005285985361886736,1.4682196339434277
2021-09-17,74.14,-0.0004044762033167393,1.4672212978369386
2021-09-20,73.47,-0.00903695710817376,1.4449251247920134
2021-09-21,73.68,0.002858309514087498,1.4519134775374378
2021-09-22,74.46,0.010586319218240936,1.4778702163061563
2021-09-23,75.44,0.013161428955143828,1.5104825291181365
2021-09-24,76.21,0.010206786850477156,1.536106489184692
2021-09-27,77.73,0.019944889122162524,1.5866888519134776
2021-09-28,78.37,0.008233629229383865,1.6079866888519136
2021-09-29,77.13,-0.015822381013142928,1.5667221297836937
2021-09-30,77.72,0.007649423051990123,1.5863560732113144
2021-10-01,76.36,-0.01749871332990216,1.5410981697171382
2021-10-04,78.26,0.024882137244630842,1.60432612312812
2021-10-05,80.44,0.02785586506516724,1.6768718801996672
2021-10-06,80.63,0.0023620089507707664,1.6831946755407652
2021-10-07,78.58,-0.025424779858613356,1.6149750415973378
